ID_Muestra;Cedula_Paciente;Glucosa;Colesterol;Trigliceridos;Hemoglobina;Urea
M001;1607718094;112;179;157;11.536373893580887;37
M002;1043889249;96;176;200;13.809081414671182;32
M003;1581359092;110;203;134;15.176306295497373;55
M004;1608669450;117;234;177;12.509138675972938;37
M005;1763131572;118;217;145;18.620876922353546;23
M006;1820599293;100;165;118;12.37475551512771;16
M007;1848987163;77;213;161;18.194639241349133;52
M008;1635637197;68;238;129;18.832971529447725;45
M009;1545010169;71;178;101;17.700494881397987;41
M010;1515314139;104;154;130;16.642402632705625;28
M011;1332894789;116;240;136;12.475910698749036;15
M012;1124939496;76;175;160;11.787420504646875;53
M013;1364920332;65;183;130;18.070581468235044;17
M014;1617070183;85;241;190;12.026571987064532;13
M015;1720977795;96;163;110;11.531017343257798;28
M016;1215710335;122;188;175;14.214813390239133;47
M017;1506753456;100;179;176;11.197001293450288;42
M018;1713219566;113;151;103;18.741768717327886;8
M019;1459726463;97;238;142;17.907160883125012;22
M020;1767964542;98;156;147;13.532095956587629;9
M021;1299735152;99;162;164;16.320284351957262;39
M022;1470337084;129;210;116;15.897535248892332;54
M023;1765683793;95;209;114;13.55848084374222;14
M024;1863889113;72;240;101;13.561695474458865;54
M025;1795064511;82;189;110;13.851728393430452;12
